tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product
VatorNews - Google And Apple Force Print Media to Evolve? {link} #sxsw,,No emotion toward brand or product
@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,Apple,Positive emotion
"HootSuite - HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Whether you‰ЫЄre getting friend... {link}",,No emotion toward brand or product
Hey #SXSW - How long do you think it takes us to make an iPhone case? answer @mention using #zazzlesxsw and we‰ЫЄll make you one!,,No emotion toward brand or product
Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets {link},,No emotion toward brand or product
For I-Pad ?RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by ... {link},,No emotion toward brand or product
#IPad2 's ‰Ыч#SmartCover‰ЫЄ Opens to Instant Access - I should have waited to get one! - {link} #apple #SXSW,iPad or iPhone App,Positive emotion
Hand-Held ‰ЫчHobo‰ЫЄ: Drafthouse launches ‰ЫчHobo With a Shotgun‰ЫЄ iPhone app #SXSW {link},,Positive emotion
HOORAY RT ‰ЫП@mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link},Apple,Positive emotion
Orly....? ‰ЫП@mention Google set to launch new social network #Circles today at #sxsw‰Ыќ,,No emotion toward brand or product
wooooo!!! ‰ЫП@mention Apple store downtown Austin open til Midnight. #sxsw‰Ыќ,Apple,Positive emotion
Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw,,No emotion toward brand or product
"‰ЫП@mention {link} &lt;-- HELP ME FORWARD THIS DOC to all Anonymous accounts, techies,&amp; ppl who can help us JAM #libya #SXSW",,No emotion toward brand or product
‰чј WHAT? ‰ч_ {link} ‰г_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,,No emotion toward brand or product
".@mention @mention on the location-based 'fast, fun and future' - {link} (via @mention #sxsw",,No emotion toward brand or product
‰ЫП@mention @mention #Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxsw‰Ыќ @mention,,No emotion toward brand or product
‰ЫП@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxsw‰Ыќ,Google,Positive emotion
"{link} RT @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.",,No emotion toward brand or product
{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,iPad,Positive emotion
{link} RT @mention Those at #SXSW check out the Holler Gram ipad app from @mention  {link},,No emotion toward brand or product
@mention  @mention &amp;  @mention having fun at #google [pic] #SXSW {link},,No emotion toward brand or product
&quot;via @mention : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! #books #internet #Apple #sxsw  &quot;,,No emotion toward brand or product
"#futuremf @mention {link} spec for recipes on the web, now in google search: {link}  #sxsw",,No emotion toward brand or product
#OMFG! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2,Apple,Positive emotion
"#Smile RT @mention I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up #sxsw",Apple,No emotion toward brand or product
Again? RT @mention Line at the Apple store is insane.. #sxsw,,Negative emotion
Agree. RT @mention Wait. FIONA APPLE is in town??? Somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,,No emotion toward brand or product
At #sxsw? @mention / @mention wanna buy you a drink. 7pm at Fado on 4th. {link} Join us!,,No emotion toward brand or product
attending @mention iPad design headaches #sxsw {link},iPad,Negative emotion
"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",,Negative emotion
Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link},iPad,Positive emotion
Check! RT @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,,No emotion toward brand or product
Chilcott: @mention #SXSW stand talking with Blogger staff. Too late to win competition for best tweet mentioning @mention So no t-shirt.,,No emotion toward brand or product
"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",Google,Positive emotion
Gowalla's @mention promises to launch Foursquare check-in + Groupon rewards-type service at #SXSW. Finger's crossed. {link},,No emotion toward brand or product
"Ha.ha. RT @mention #SXSW News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name.",,No emotion toward brand or product
Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,Google,Positive emotion
I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,iPhone,Positive emotion
I worship @mention {link} #SXSW,,No emotion toward brand or product
"iPad2? RT @mention Droid &amp; Mac here :) RT @mention My #agnerd confession, using laptop, iPad &amp; blackberry to follow #SXSW",,No emotion toward brand or product
"Launching @mention #SxSW? RT @mention @mention Denies Social Network Called Circles Will Debut Today, Despite Report {link}",,No emotion toward brand or product
New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,iPad or iPhone App,Positive emotion
Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,iPad or iPhone App,Positive emotion
Nice!  RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW {link} via @mention,,No emotion toward brand or product
"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Apple,Positive emotion
"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",Google,Positive emotion
Stay tune @mention showcase #H4ckers {link} #SXSW,,No emotion toward brand or product
Thank you @mention @mention for the #touchingstories preso #SXSW . Here's their deck {link},,No emotion toward brand or product
Thank you @mention for an awesome #sxsw party! {link},,No emotion toward brand or product
"Thanks RT @mention If you're trying to contact friends or family in #Japan, @mention has created a person finder: {link} #SXSW",,No emotion toward brand or product
Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,iPad or iPhone App,Positive emotion
Thanks to @mention for publishing the news of @mention new medical Apps at the #sxswi conf. blog {link} #sxsw #sxswh,,I can't tell
Thanks to @mention for publishing the news of our new medical Apps in the #sxswi conf. blog {link} #sxsw #sxswh #mhealth,,No emotion toward brand or product
What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,iPhone,Negative emotion
Wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2,,No emotion toward brand or product
Wonder if @mention is putting tips from the @mention API... #SxSW #SUxSW,,No emotion toward brand or product
"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",iPad,Positive emotion
Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},iPhone,Positive emotion
"Yes!!! RT @mention hey @mention , i've got another gem for you --&gt; free @mention sxsw {link} #SXSW",,No emotion toward brand or product
"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile",Google,Positive emotion
GSD&amp;M &amp; Google's Industry Party Tonight @mention - See u there! {link} #SXSW #Austin #Welivehere #GSDM,,No emotion toward brand or product
"New buzz? &quot;@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt @mention #sxsw&quot;",,No emotion toward brand or product
Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget,iPad,Positive emotion
‰ЫП@mention &quot;Apple has opened a pop-up store in Austin so the nerds in town for #SXSW can get their new iPads. {link} #wow,,I can't tell
Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw,,Negative emotion
".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy",Google,Positive emotion
".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy (via @mention",,No emotion toward brand or product
"‰ЫП@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.‰Ыќ",Google,Positive emotion
"Attending &quot;left brain search = Google, Right brain search = X&quot;  #Bettersearch  -- talking about the future of search engines at #sxsw",,No emotion toward brand or product
#HP opens &quot;Mobile Park&quot;  &amp; Content Incubator at #SXSW  {link}   #Apple  constructs  &quot;pop-up&quot; store  {link},,No emotion toward brand or product
"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw",Apple,Positive emotion
Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment,,No emotion toward brand or product
Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention,Apple,Positive emotion
Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link},,Positive emotion
"Unboxing. #Apple #sxsw  @mention Apple Store, SXSW {link}",,No emotion toward brand or product
"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",iPad,Positive emotion
"At #SXSW, #Apple schools the #marketing experts | SXSW - CNET Blogs {link}",,No emotion toward brand or product
"At #SXSW, #Apple schools the marketing experts - {link}",Apple,Positive emotion
"At #SXSW, #Apple schools the marketing experts {link}",,No emotion toward brand or product
"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  {link}",Apple,Positive emotion
"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters.",Apple,Positive emotion
‰ЫП@mention #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.,Apple,Positive emotion
#iPad and #Austin are trending today. Have fun at #sxsw all you nerdy nerds!!!,iPad,Positive emotion
"Headed to #Austin for #SXSW? Check out my map for newbies {link} @mention @mention , @mention @mention Enjoy!",,No emotion toward brand or product
Funny how #Austin is trending but not #SXSW. Only a matter of minutes at this point (at least according to Twitter for iPhone).,,No emotion toward brand or product
Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,iPad or iPhone App,Positive emotion
#sxsw #ux #ipad #uxdes remember to ultimately be aware of the audience your app is targeted towards. An unexpected experience can be good.,,No emotion toward brand or product
The Apple #iPAD2  has taken #SxSW and #Austin by storm.. {link}  @mention excited to a be a part #mobile,iPad,Positive emotion
I can haz #iPad2 ifrom #SxSW Gr8 {link},iPad,Positive emotion
"Stacks of #ipad2's waiting to be bought at #sxsw. I got mine, no hassle at all. Apple handled this perfectly {link}",iPad,Positive emotion
"#Google's #Mobile Future, and the Elusive 'Power of Here' - {link} (via @mention #eurorscg #sxsw #sxswi",,No emotion toward brand or product
"For those #notatSXSW (or at #SXSW), here's {link} Free to download and meet nearby peps",,No emotion toward brand or product
Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link}  #seo #sxsw,,Positive emotion
Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link} #seo #sxsw,,No emotion toward brand or product
"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW",,No emotion toward brand or product
"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW /via @mention ^rg",,No emotion toward brand or product
"Take that #SXSW ! RT @mention Major South Korean director gets $130,000 to make a movie entirely with his iPhone. {link}",iPhone,Positive emotion
"Beautiful #sxsw (@mention Apple Store, SXSW) [pic]: {link}",Apple,Positive emotion
Q1 Was at #sxsw #sxswi for prep. Amazing pre push locally. Focus on location based. Google owns 10% of the regions billboards. #pr20chat,,No emotion toward brand or product
Any other #Sxsw accounts I need to follow or apps to download for iPhone?,,No emotion toward brand or product
Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a business card broadcaster.,,No emotion toward brand or product
Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a... {link},,No emotion toward brand or product
BTW - The #sxsw Apple store is sold out of all 3G models (VZW &amp; AT&amp;T).,,No emotion toward brand or product
Must have #SXSW app! RT @mention Lovely review from Forbes for our SXSW iPad app Holler Gram - {link},iPad or iPhone App,Positive emotion
Temporary #sxsw apple store. Apple being sneaky as usual  {link},Apple,Positive emotion
Anyone at #sxsw been by the pop-up Apple store in Austin? That's gotta be a hopping place today.,,No emotion toward brand or product
‰ЫП@mention #sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.‰Ыќ,iPad or iPhone App,Positive emotion
Apple won #SxSW from day one. Seeing a TON of #iPad2,iPad,Positive emotion
#fastball #sxsw Giving away two NEW Ipad2 wifi 32g black Apple cover tweet @mention fo more info #sxswi #attsxsw  Tonight @mention bo.lt house,,No emotion toward brand or product
Anyone at #sxsw had a chance to check out the pop-up Apple store? Wondering if it is worth the trek from the convention center...,,No emotion toward brand or product
‰ЫП@mention #sxsw ipad store sold out of everything except 64gig wifi only white‰Ыќ @mention Did you manage to get yours?,iPad,Positive emotion
‰ЫП@mention #sxsw ipad store sold out of everything except 64gig wifi only white‰Ыќ also known as the white jeans configuration.,iPad,Positive emotion
Offered a #sxsw ipad promo to ninjafinder users and fans who are not here at #sxsw. Sucks to not be here. #sxsw,iPad,Positive emotion
@mention  #SXSW is an Austin conference. Do a google search - they have interactive / music / film.,,No emotion toward brand or product
Anyone at #sxsw know if apple will be (or is) selling ipad 2 there?,,No emotion toward brand or product
Anyone at #SXSW know if the apple store has had a new shipment of iPads yet?,,No emotion toward brand or product
Marc Ecko #SXSW launches #iPhone app. to autodial political change! {link} #edreform #edtech #eduVC #FightThePaddle,,No emotion toward brand or product
#POURsite #SXSW learning about the life-changing impact of the iPad on real people's actual lives - bravo!,iPad,Positive emotion
@mention  #SXSW LonelyPlanet Austin guide for #iPhone is free for a limited time {link} #lp #travel,,Positive emotion
"More free #SXSW mp3 downloads, this time from iTunes: {link}",,No emotion toward brand or product
Anyone at #sxsw or heading to aclu event seen owt to do with google circles then?,,No emotion toward brand or product
@mention  #SXSW prompt for memory: go to Google map and describe a childhood walk,,No emotion toward brand or product
The Apple #SXSW store still has iPad 2's and short lines.,iPad,Positive emotion
Essential #sxsw tools: {link},,No emotion toward brand or product
"Just left #sxsw tradeshow demo of @mention at the Google Theatre. Ok, I get it. I see why all the presenters here are using it.",Other Google product or service,Positive emotion
"Following #sxsw Tweets on Google Realtime, four platforms on Tweet Deck and listening to panel, realizing I'm spoken to no one here today.",,No emotion toward brand or product
Anyone at #sxsw want an iPad 2? I'm in line and will pick one up for someone willing to pay me 50 for me to grab 1 for you?,,No emotion toward brand or product
Anyone at #sxsw want to make a quick hundred dollars? New #ipad2 from ad hoc apple store here gets hundred plus cost!,iPad,Positive emotion
Solving a #SXSW-induced iPhone-in-toilet crisis at Apple Store with @mention (not my crisis for once),,No emotion toward brand or product
"Monday at #sxsw: barry diller, new york times, congress lunch, W Hotel party, Google party, six dirty martinis. How mondays should be.",Google,Positive emotion
Attending #sxsw? Austin Guide by @mention is now free to download on iTunes - {link} #lp,,No emotion toward brand or product
"Seriously #sxsw? Did you do any testing on the mobile apps? Constant iPad crashes causing lost schedules, and no sync for WP7.",iPad or iPhone App,Negative emotion
Ready for #SXSW?! Here are some iPhone apps 2 make ur blogging easier | {link} #SXSW #SXSWi,iPad or iPhone App,Positive emotion
ipad2 and #sxsw...a conflagration of doofusness.  {link},iPad,Negative emotion
attention #sxsw'ers - {link} - rumored pop-up temporary Apple store for all your #sxsw iPad 2 launch needs.,Apple,Positive emotion
I went to #sxswi and all I won was this lousy #iPad #sxsw :-) :-) {link},iPad,Positive emotion
Hey #sxsw #sxswi folks. If you want to learn about security come over to #bsidesaustin {link},,No emotion toward brand or product
Attending #SXSWi? Work in iPhone / iPad game development? Looking to hire an Austin-based iOS developer? I'm your man. Let's talk. #SXSW,,No emotion toward brand or product
This is a #WINNING picture #android #google #sxsw {link},Android,Positive emotion
GSD&amp;M + Google 7-10. RT @mention What's the best party to hit tonight? #sxsw @mention @mention,,No emotion toward brand or product
GSD&amp;M + Google Industry Party #SXSW @mention great to meet you  {link},,No emotion toward brand or product
"You spent $1,000+ to come to SXSW. 

You've already used iPad 1. 

The wait is a couple city blocks. 

Why? #ipad2 #SXSW {link}",iPad,Negative emotion
#sxsw day 1 - Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile {link},,No emotion toward brand or product
Behind on 100s of emails? Give them all 1 line iPhone composed replies. #SXSW #protip,iPhone,Positive emotion
It's like 10pm at night and there is a line around the block at the popup apple stores selling iPad2s. #sxsw,iPad,Positive emotion
.@mention 1154 free songs from #SXSW (this year alone!) {link},,No emotion toward brand or product
more than 150 million mobile users for Google Maps for Mobile #SXSW,,No emotion toward brand or product
Currently 150 people in line at the &quot;Pop Up Apple Store&quot; #sxsw,,No emotion toward brand or product
"Only iPad 2 available at #sxsw is the 64GB wifi-only model at $699, plus the optional (not!) leather smart cover at $69",,No emotion toward brand or product
‰чј We love 2 entertain you‰Ы_Please don‰ЫЄt be grateful! ‰ч_ {link} ‰г_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,,No emotion toward brand or product
Less than 2 hours until we announce the details on the iPad 2 giveaway! #SXSW #SXSWi,,No emotion toward brand or product
"I'm up to 2 iPad 2s seen in the wild. Both people say it is fast, but the still pics are terrible. #sxsw",iPad,Negative emotion
(The iPad 2 queue at #sxsw of course,,No emotion toward brand or product
The #iPad 2 Takes Over #SXSW [VIDEO] /by @mention {link},iPad,Positive emotion
many iPad 2's snapping away at the keynote slides! #sxsw,iPad,Positive emotion
Apple has 200M users' credit cards sync'd with iTunes for one click purchase. . #winning #sxsw,,No emotion toward brand or product
Having my 2nd cocktail &quot;Texas Snowflake&quot;  ( @mention google it!!) at the #CNNGrill #SxSw,,No emotion toward brand or product
New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive {link} #SXSW #SXSWi,iPad or iPhone App,Positive emotion
New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive #SXSW #SXSWi {link},,No emotion toward brand or product
sweet new 3-d google maps demo going on in ballroom D #SXSW,Other Google product or service,Positive emotion
More than 35 million miles per day are driving with Google Maps Navigation! #SXSW,Other Google product or service,Positive emotion
rt ' It's 4 p.m. and the #iPad2 line at the Apple store is longer and wider ‰ЫТ about 250 people! Only one more hour. ' #sxsw,,No emotion toward brand or product
"U = smart 4 packing an extra :) RT @mention On my way to sunny Austin for #sxsw! Extra iPhone in stow, just in case. @mention @mention",,No emotion toward brand or product
"Wonder if 4sqwill attempt to block GoWalla cross-checkins, the way Facebook blocked Google's contacts connections.  #sxsw #lbsWars",,No emotion toward brand or product
#SXSW day 5 at the #apple store and there's still a line...and growing {link},Apple,Positive emotion
"Check out 5 Steps to Bulletproof UX Strategy at SXSW
{link} #SXSW #rhjr_ux5  {link}",,No emotion toward brand or product
"Wandering 6th street with the girls. Stopped for ceviche, mojitos, apple juice &amp; ice cream. #sxsw",,No emotion toward brand or product
"If you're a band at #SXSW and want to share a track with your Audience from stage, use FrostWire for Android if there's Wi-Fi available",Android App,Positive emotion
We've got a busy week ahead: Our new book on #Google Apps will be available on Amazon &amp; we're attending #SXSW,,No emotion toward brand or product
"I believe a few went to Aussies at #sxsw RT @mention iPad 2 Sold Out, 70% Went to New Buyers [REPORT] - {link}",,No emotion toward brand or product
‰ЫП@mention A Google Spreadsheet of over 270 parties at #SXSW this year O_O {link} @mention Plan on going to #SXSW Party on,,No emotion toward brand or product
"There was a guy in line for Apple's pop-up store on Sixth Street in Austin. &quot;I'm that guy,&quot; he told me. #sxsw",,No emotion toward brand or product
if u have a iPhone you don't need a car'-use zimride etc to share rides #sxsw #shareable,iPad or iPhone App,Positive emotion
"I've seen a lot of tablets here, every single one of them is an iPad. #SXSW",,No emotion toward brand or product
Receiving a lot of @mention messages telling me I'm sexy in response to my post looking to meet fellow Christian iPhone devs at #sxsw,,No emotion toward brand or product
Picked up a Mophie battery case 4 my iPhone in prep for #SXSW. Not lugging around a laptop &amp; only using my phone was a huge win last year.,iPhone,Positive emotion
"Now thats a NEWS :P RT@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",,No emotion toward brand or product
"Just took a piss at the trade show, iPad in one hand, iPhone in the other. Pissing. I am KIIIIIILLING it right now. #sxsw",,No emotion toward brand or product
"Not to be a rumor monger, but this was a good read е_ #Google #Circles preview @mention #sxsw {link} by @mention via @mention #socbiz #fb",Other Google product or service,Positive emotion
HOBO WITH A SHOTGUN iPhone game {link} #sxsw,,No emotion toward brand or product
Hobo with A Shotgun video game coming to iPad/iPhone users?! Yes please! {link} #SXSW,iPad or iPhone App,Positive emotion
build out a store in less than 24 hours and have one of the biggest launches in this company's history?  we got this.  #apple #sxsw #ipad2,Apple,Positive emotion
Just took a survey on iPhone while in Starbucks line. Got a free Starbucks gift card. Instant research. Instant gratification. #sxsw #gsdm,,No emotion toward brand or product
Apple has a temporary Retail Store in Austin for the iPad 2 release today. Opens at 5pm. #SXSW #SXSWi #ipad2,,No emotion toward brand or product
Just read about #GroupMe at #SXSW...sounds like an incredible app. Is it available for Android phones yet?,iPad or iPhone App,Positive emotion
Wondering about Circles? &gt; Google to reveal a new social network at #SXSW {link},,No emotion toward brand or product
"google is about search, but local' marissa mayer #sxsw",,No emotion toward brand or product
Wondering about street closures during SXSW? We made a Google Map to show you: {link} #sxsw #austin,,No emotion toward brand or product
Is Google about to have another go at social with &quot;Google Circles&quot;? #sxsw #google,,No emotion toward brand or product
Questions about what's inside the iPad 2? Fire them my way. #sxsw,,No emotion toward brand or product
Paraormal activity: Sanctuary iphone game. Sketching your AR experience. Interactivity through &quot;magic lense&quot; #EduAR #sxsw,,No emotion toward brand or product
Apple IIe ad in the '85 SI swimsuit issue at a garage sale #sxsw {link},,No emotion toward brand or product
Flipboard Adds Instagram Photos and Social Search [Apps] {link} #Apple #SocialSearch #SXSW,,No emotion toward brand or product
Spent the aftrnoon on a frozen lake photographing my brother Scott &amp; the @mention team. Catch them at #SXSW ths weeknd.  {link},,No emotion toward brand or product
"If iPhone alarms botch the timechange, how many #SXSW'ers freak? Late to flights, missed panels, behind on bloody marys...",iPhone,Negative emotion
Shouts to all the ladies holding up their iPad 2's at free #sxsw shows to take photos while sipping free beer. /cc: @mention,iPad,Positive emotion
"Dj hoodie allen, with all due respect, you should probably make your way back to google #sxsw",,No emotion toward brand or product
I meant I also wish I  at #SXSW #dyac stupid iPhone!,iPhone,Negative emotion
